datetime,baseline,e,n,u,distance_m,nominal_distance_m,q,ns,status
04/09/2026 13:04:45.000,5000-5002,-0.2598,-0.0769,0.0177,0.2715,0.28,1,14,normal
04/09/2026 13:04:46.000,5000-5002,-0.2598,-0.0782,0.0156,0.2718,0.28,1,14,normal
04/09/2026 13:04:46.000,5000-5001,0.2651,0.1031,0.0129,0.2847,0.28,1,14,normal
04/09/2026 13:04:47.000,5000-5002,-0.2599,-0.0782,0.0129,0.2717,0.28,1,14,normal
04/09/2026 13:04:47.000,5000-5001,0.2654,0.1039,0.0077,0.2851,0.28,1,14,normal
04/09/2026 13:04:48.000,5000-5001,0.2646,0.1038,0.0104,0.2844,0.28,1,14,normal
04/09/2026 13:04:48.000,5000-5002,-0.2601,-0.0772,0.0147,0.2717,0.28,1,14,normal
04/09/2026 13:04:49.000,5000-5001,0.2649,0.1044,0.0112,0.285,0.28,1,14,normal
04/09/2026 13:04:49.000,5000-5002,-0.259,-0.0773,0.0138,0.2706,0.28,1,14,normal
04/09/2026 13:04:50.000,5000-5001,0.268,0.1071,0.0105,0.2888,0.28,1,14,normal
04/09/2026 13:04:50.000,5000-5002,-0.2582,-0.0752,0.0161,0.2694,0.28,1,14,normal
04/09/2026 13:04:51.000,5000-5002,-0.2601,-0.0786,0.0151,0.2721,0.28,1,14,normal
04/09/2026 13:04:51.000,5000-5001,0.2648,0.1042,0.0101,0.2847,0.28,1,14,normal
04/09/2026 13:04:52.000,5000-5001,0.2651,0.1036,0.0109,0.2848,0.28,1,14,normal
04/09/2026 13:04:52.000,5000-5002,-0.2597,-0.0764,0.0173,0.2713,0.28,1,14,normal
04/09/2026 13:04:53.000,5000-5002,-0.2592,-0.0788,0.013,0.2712,0.28,1,14,normal
04/09/2026 13:04:53.000,5000-5001,0.2663,0.1033,0.0062,0.2857,0.28,1,14,normal
04/09/2026 13:04:54.000,5000-5002,-0.2597,-0.0787,0.0139,0.2717,0.28,1,14,normal
04/09/2026 13:04:54.000,5000-5001,0.2659,0.1053,0.0078,0.2861,0.28,1,14,normal
04/09/2026 13:04:55.000,5000-5001,0.2665,0.1069,0.0115,0.2874,0.28,1,14,normal
04/09/2026 13:04:55.000,5000-5002,-0.2596,-0.0752,0.0169,0.2708,0.28,1,14,normal
04/09/2026 13:04:56.000,5000-5001,0.2667,0.1045,0.0085,0.2866,0.28,1,14,normal
04/09/2026 13:04:56.000,5000-5002,-0.2591,-0.0791,0.0148,0.2713,0.28,1,14,normal
04/09/2026 13:04:57.000,5000-5001,0.2665,0.1066,0.0116,0.2873,0.28,1,14,normal
04/09/2026 13:04:57.000,5000-5002,-0.2573,-0.0755,0.0144,0.2685,0.28,1,14,normal
04/09/2026 13:04:58.000,5000-5001,0.2655,0.1048,0.0115,0.2857,0.28,1,14,normal
04/09/2026 13:04:58.000,5000-5002,-0.2595,-0.0785,0.0157,0.2716,0.28,1,14,normal
04/09/2026 13:04:59.000,5000-5001,0.2656,0.1051,0.0107,0.2858,0.28,1,14,normal
04/09/2026 13:04:59.000,5000-5002,-0.2598,-0.0776,0.0152,0.2716,0.28,1,14,normal
04/09/2026 13:05:00.000,5000-5001,0.2656,0.1043,0.0076,0.2854,0.28,1,14,normal
04/09/2026 13:05:00.000,5000-5002,-0.26,-0.078,0.014,0.2718,0.28,1,14,normal
04/09/2026 13:05:01.000,5000-5001,0.2661,0.1032,0.0043,0.2854,0.28,1,14,normal
04/09/2026 13:05:01.000,5000-5002,-0.2594,-0.0766,0.0144,0.2709,0.28,1,14,normal
04/09/2026 13:05:02.000,5000-5001,0.2656,0.1045,0.0094,0.2856,0.28,1,14,normal
04/09/2026 13:05:02.000,5000-5002,-0.2605,-0.0774,0.0153,0.2722,0.28,1,14,normal
04/09/2026 13:05:03.000,5000-5002,-0.2603,-0.078,0.0123,0.272,0.28,1,14,normal
04/09/2026 13:05:03.000,5000-5001,0.2657,0.1035,0.008,0.2853,0.28,1,14,normal
04/09/2026 13:05:04.000,5000-5002,-0.2601,-0.078,0.0133,0.2719,0.28,1,14,normal
04/09/2026 13:05:04.000,5000-5001,0.2658,0.1029,0.0074,0.2851,0.28,1,14,normal
